Date,Price,Open,High,Low,Vol.,Change %
12/20/2023,83.139,83.111,83.237,83.087,,0.04%
12/19/2023,83.106,83.153,83.228,83.07,,-0.05%
12/18/2023,83.144,83.018,83.173,82.91,,0.15%
12/15/2023,83.02,83.308,83.332,82.927,,-0.34%
12/14/2023,83.307,83.287,83.372,83.266,,-0.05%
12/13/2023,83.35,83.399,83.438,83.346,,-0.06%
12-12-2023,83.396,83.368,83.434,83.324,,0.06%
12-11-2023,83.35,83.409,83.451,83.349,,-0.09%
12-08-2023,83.425,83.354,83.465,83.335,,0.10%
12-07-2023,83.343,83.337,83.398,83.311,,0.01%
12-06-2023,83.332,83.325,83.381,83.286,,0.01%
12-05-2023,83.32,83.431,83.439,83.317,,-0.13%
12-04-2023,83.426,83.217,83.461,83.215,,0.20%
12-01-2023,83.26,83.356,83.375,83.24,,-0.12%
11/30/2023,83.357,83.359,83.419,83.29,,0.01%
11/29/2023,83.352,83.292,83.383,83.26,,0.01%
11/28/2023,83.34,83.358,83.399,83.292,,0.01%
11/27/2023,83.33,83.324,83.433,83.309,,-0.01%
11/24/2023,83.34,83.35,83.413,83.332,,0.04%
11/23/2023,83.305,83.276,83.368,83.265,,0.02%
11/22/2023,83.287,83.313,83.359,83.255,,-0.03%
11/21/2023,83.308,83.321,83.38,83.228,,-0.01%
11/20/2023,83.317,83.265,83.424,83.23,,0.09%
11/17/2023,83.244,83.161,83.303,83.161,,0.11%
11/16/2023,83.152,83.186,83.273,83.153,,-0.04%
11/15/2023,83.188,82.98,83.213,82.962,,0.26%
11/14/2023,82.973,83.209,83.278,82.906,,-0.25%
11/13/2023,83.18,83.309,83.343,83.201,,-0.15%
11-10-2023,83.309,83.302,83.499,83.224,,-0.01%
11-09-2023,83.315,83.232,83.341,83.216,,0.12%
11-08-2023,83.213,83.234,83.31,83.208,,-0.02%
11-07-2023,83.23,83.221,83.287,83.21,,0.01%
11-06-2023,83.218,83.107,83.263,83.085,,0.09%
11-03-2023,83.14,83.247,83.311,83.134,,-0.11%
11-02-2023,83.234,83.24,83.281,83.174,,0.00%
11-01-2023,83.237,83.278,83.337,83.225,,-0.02%
10/31/2023,83.256,83.26,83.293,83.221,,0.01%
10/30/2023,83.25,83.28,83.305,83.212,,-0.02%
10/27/2023,83.265,83.272,83.301,83.19,,0.03%
10/26/2023,83.243,83.163,83.269,83.131,,0.12%
10/25/2023,83.14,83.022,83.205,83.008,,0.16%
10/24/2023,83.01,83.031,83.102,82.956,,-0.07%
10/23/2023,83.071,83.16,83.206,83.085,,-0.10%
10/20/2023,83.15,83.15,83.216,83.012,,0.06%
10/19/2023,83.097,83.284,83.306,83.082,,-0.23%
10/18/2023,83.29,83.255,83.31,83.211,,0.06%
10/17/2023,83.24,83.215,83.289,83.186,,0.06%
10/16/2023,83.19,83.264,83.296,83.183,,-0.08%
10/13/2023,83.255,83.25,83.297,83.211,,-0.04%
10-12-2023,83.29,83.175,83.302,83.125,,0.16%
10-11-2023,83.16,83.217,83.246,83.116,,0.00%
10-10-2023,83.162,83.266,83.282,83.17,,-0.11%
10-09-2023,83.254,83.187,83.348,83.162,,0.16%
10-06-2023,83.118,83.218,83.303,83.121,,-0.10%
10-05-2023,83.2,83.214,83.305,83.178,,-0.06%
10-04-2023,83.25,83.235,83.346,83.173,,0.04%
10-03-2023,83.214,83.233,83.271,83.127,,0.05%
10-02-2023,83.174,83.165,83.234,83.123,,0.17%
09/29/2023,83.03,83.209,83.209,83.012,,-0.14%
09/28/2023,83.15,83.237,83.273,83.111,,-0.04%
